2022-11-30 23:49:50 | Info  | }
2022-11-30 23:49:50 | Info  | Script Cobos finish
2022-11-30 23:50:08 | Info  | Script Cobos start
2022-11-30 23:50:08 | Info  | Import-CobasFiles {
2022-11-30 23:50:08 | Info  | 	Found file testFile1.txt {
2022-11-30 23:50:08 | Info  | }
2022-11-30 23:50:08 | Info  | Script Cobos finish
2022-11-30 23:52:21 | Info  | Script Cobos start
2022-11-30 23:52:21 | Info  | Import-CobasFiles {
2022-11-30 23:52:21 | Info  | 	Found file testFile1.txt {
2022-11-30 23:52:21 | Info  | }
2022-11-30 23:52:21 | Info  | Script Cobos finish
2022-11-30 23:53:58 | Info  | Script Cobos start
2022-11-30 23:53:58 | Info  | Import-CobasFiles {
2022-11-30 23:53:58 | Info  | 	Found file testFile1.txt {
2022-11-30 23:53:58 | Info  | }
2022-11-30 23:53:58 | Info  | Script Cobos finish
2022-11-30 23:54:19 | Info  | Script Cobos start
2022-11-30 23:54:19 | Info  | Import-CobasFiles {
2022-11-30 23:54:19 | Info  | 	Found file testFile1.txt {
2022-11-30 23:54:19 | Info  | }
2022-11-30 23:54:19 | Info  | Script Cobos finish
2022-11-30 23:56:59 | Info  | Script Cobos start
2022-11-30 23:56:59 | Info  | Import-CobasFiles {
2022-11-30 23:56:59 | Info  | 	Found file testFile1.txt {
2022-11-30 23:56:59 | Info  | }
2022-11-30 23:57:35 | Info  | Script Cobos start
2022-11-30 23:57:35 | Info  | Import-CobasFiles {
2022-11-30 23:57:35 | Info  | 	Found file testFile1.txt {
2022-11-30 23:57:35 | Info  | }
2022-11-30 23:57:35 | Info  | Script Cobos finish
2022-11-30 23:58:43 | Info  | Script Cobos start
2022-11-30 23:58:43 | Info  | Import-CobasFiles {
2022-11-30 23:58:43 | Info  | 	Found file testFile1.txt {
2022-11-30 23:58:43 | Info  | }
2022-11-30 14:20:58 | Info  | Script Cobos start
2022-11-30 14:20:58 | Info  | Import-CobasFiles {
